CrimeDate,Total Incidents
2011-04-04,1.0
2011-05-05,1.0
2011-05-25,1.0
2011-06-05,2.0
2011-06-06,135.0
2011-06-07,140.0
2011-06-08,121.0
2011-06-09,134.0
2011-06-10,135.0
2011-06-11,144.0
2011-06-12,158.0
2011-06-13,127.0
2011-06-14,125.0
2011-06-15,129.0
2011-06-16,180.0
2011-06-17,145.0
2011-06-18,148.0
2011-06-19,156.0
2011-06-20,166.0
2011-06-21,148.0
2011-06-22,157.0
2011-06-23,150.0
2011-06-24,152.0
2011-06-25,141.0
2011-06-26,146.0
2011-06-27,168.0
2011-06-28,165.0
2011-06-29,152.0
2011-06-30,170.0
2011-07-01,175.0
2011-07-02,142.0
2011-07-03,130.0
2011-07-04,161.0
2011-07-05,127.0
2011-07-06,157.0
2011-07-07,114.0
2011-07-08,160.0
2011-07-09,143.0
2011-07-10,163.0
2011-07-11,158.0
2011-07-12,121.0
2011-07-13,161.0
2011-07-14,161.0
2011-07-15,160.0
2011-07-16,140.0
2011-07-17,160.0
2011-07-18,149.0
2011-07-19,159.0
2011-07-20,125.0
2011-07-21,138.0
2011-07-22,154.0
2011-07-23,151.0
2011-07-24,157.0
2011-07-25,156.0
2011-07-26,155.0
2011-07-27,137.0
2011-07-28,114.0
2011-07-29,186.0
2011-07-30,193.0
2011-07-31,162.0
2011-08-01,158.0
2011-08-02,113.0
2011-08-03,142.0
2011-08-04,154.0
2011-08-05,180.0
2011-08-06,167.0
2011-08-07,148.0
2011-08-08,130.0
2011-08-09,143.0
2011-08-10,157.0
2011-08-11,135.0
2011-08-12,150.0
2011-08-13,160.0
2011-08-14,131.0
2011-08-15,184.0
2011-08-16,151.0
2011-08-17,140.0
2011-08-18,149.0
2011-08-19,163.0
2011-08-20,144.0
2011-08-21,133.0
2011-08-22,145.0
2011-08-23,172.0
2011-08-24,148.0
2011-08-25,155.0
2011-08-26,160.0
2011-08-27,130.0
2011-08-28,120.0
2011-08-29,149.0
2011-08-30,142.0
2011-08-31,121.0
2011-09-01,130.0
2011-09-02,151.0
2011-09-03,134.0
2011-09-04,143.0
2011-09-05,135.0
2011-09-06,115.0
2011-09-07,129.0
2011-09-08,122.0
2011-09-09,130.0
2011-09-10,180.0
2011-09-11,145.0
2011-09-12,128.0
2011-09-13,144.0
2011-09-14,152.0
2011-09-15,132.0
